X_Value,PT1-P0,PT2-P0,PT-P1,PT-P2,PT-W1,PT-W2,PT-PC,PT-F,TCp-P0,TCp-P1,TCp-P2,TCp-W1,TCp-W2,TCp-PC,LC4-W3,LC1-W3,LC2-W3,LC3-W3,Comment
0.07502,466.618726,432.121111,156.487666,0.579699,0,0,87.286771,86.67052,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.807216,24.870284,19.379893,17.46027,
0.07564,463.328664,432.285548,156.750239,0,0.289463,0,87.352502,86.749239,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.811422,24.855805,19.361255,17.443125,
0.07626,465.467204,433.929919,156.520487,0.285365,0,0,87.260479,86.565561,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.828945,24.883334,19.371275,17.486184,
0.07688,466.947732,433.601045,156.717418,0,1.733612,0,87.273625,86.841079,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.837557,24.874761,19.411558,17.48313,
0.0775,468.921769,431.298925,156.586131,0.285365,2.390043,0,87.313063,86.880438,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.797203,24.845231,19.376687,17.501162,
0.07812,467.441241,434.258793,156.3892,0.285365,3.177761,0,87.247333,86.723,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.819232,24.82818,19.365564,17.471306,
0.07874,462.835155,430.805614,157.111278,0.318069,4.457802,0,87.194748,86.68364,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.843064,24.866093,19.37328,17.480371,
0.07936,464.15118,431.792236,156.815883,0,3.341869,0,87.536548,86.814839,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.825641,24.857805,19.372478,17.471207,
0.07998,466.947732,430.476739,156.257913,0.187253,3.37469,0,87.39194,86.6574,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.809419,24.85952,19.372378,17.494757,
0.0868,467.934751,434.423231,156.323557,0.121845,0,0,87.497109,86.526202,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.81012,24.855709,19.366165,17.495545,
0.08742,467.112235,432.778859,156.783061,0,0,0,87.326209,86.565561,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.828144,24.846565,19.382799,17.464901,
0.08804,459.216087,432.778859,156.520487,0.514292,0,0,87.483963,86.70988,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.810621,24.841992,19.376286,17.492688,
0.08866,462.835155,432.449985,156.323557,0,0,0,87.405086,86.723,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.809619,24.846469,19.35384,17.49318,
0.08928,464.973695,434.916542,156.586131,0.285365,0,0,87.299917,86.604921,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.787089,24.863616,19.381597,17.516829,
0.0899,465.631708,432.614422,156.651774,0.056438,0,0,87.444525,86.69676,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.795901,24.848184,19.37328,17.513577,
